2i18.pdb	2i19.pdb	2i09.pdb	2i08.pdb	2i20.pdb	2i12.pdb	2i06.pdb	2i07.pdb	2i13.pdb	2i05.pdb	2i11.pdb	2i10.pdb	2i04.pdb	2i14.pdb	2i15.pdb	2i01.pdb	2i17.pdb	2i03.pdb	2i02.pdb	2i16.pdb
2i18.pdb	0.0	13.768461708410722	18.430053396718986	13.733715005737288	19.355309180732476	13.53600639048026	16.900641318060313	5.990202778130654	18.571876248168028	7.436946787220017	26.798789644427718	11.73547055724088	22.619603638802005	13.36302497139836	5.526397264127612	16.41278308327636	9.284621446799354	20.891344065909777	13.70872229507213	18.26295435232323
2i19.pdb	13.768461708410726	1.213873000472179e-14	14.615312480793852	12.428217732760357	11.725254454415133	16.23625626451921	10.271639461226677	7.17301391238375	12.550189423116674	9.691915112527527	21.815455846378754	9.404913446123588	12.178362565372868	14.585083127493036	15.487990862215275	14.948626685063616	4.357439388117463	6.989052623562546	7.893847614567028	11.135084581752938
2i09.pdb	18.43005339671899	14.615312480793845	1.429493135471958e-14	14.637006759429768	15.28979031327618	10.37382631411337	17.717641050535793	9.2034590499519	5.658294880586956	8.587894159217083	10.280347598500377	9.03840655110568	11.133800010438925	19.571918739270235	22.439001247891124	15.687453100450641	13.705240087247345	13.160292165615184	15.40681361104507	11.348952356854653
2i08.pdb	13.733715005737285	12.428217732760366	14.63700675942977	1.0813186174333342e-14	6.839406781058254	13.943458908330856	8.063110600373754	13.104275465409861	14.689586543583061	15.405528788788915	18.42783741540181	13.215172339338787	16.491803690809988	10.594229103261124	13.476816730976127	5.7525590305246	12.468449729367178	12.006502683155313	17.277151370685203	13.993327547951445
2i20.pdb	19.355309180732444	11.725254454415142	15.289790313276175	6.8394067810582575	9.4412180488625e-15	14.098831376133067	3.747895321780682	13.66269322197488	18.143072163288068	12.370942113349333	17.14298856895579	13.18029903657049	15.603035392895492	8.96436298223184	18.386839238489966	8.443805531317041	12.561983047068908	8.501032320954545	14.881327470662482	13.542261002129633
2i12.pdb	13.53600639048025	16.236256264519202	10.373826314113357	13.943458908330859	14.098831376133074	1.4819282296695572e-14	14.405499909259156	14.520435824501746	4.975823689828496	10.532212431582797	13.899706550919413	12.41908662748376	11.859266898209293	12.709963552803845	10.704085151990112	8.11343576335714	15.681101958767027	16.237265427946497	12.481375125609734	13.360767668658571
2i06.pdb	16.900641318060305	10.271639461226673	17.717641050535786	8.06311060037375	3.747895321780675	14.405499909259156	1.8616716676004468e-14	14.43346266900687	13.034686483681252	16.791877957142532	21.244312660253478	14.967048183527131	14.2188286597659	6.429902743342013	18.079126635924816	5.703688683153377	15.433115826070283	7.8170339035325105	12.678216252356885	13.264756931251421
2i07.pdb	5.990202778130647	7.173013912383753	9.20345904995189	13.104275465409867	13.662693221974893	14.52043582450175	14.43346266900688	2.7508621595099274e-14	10.567182044304795	3.1518434856108466	18.915415899636304	2.45772531265016	4.987702391787359	17.84729259680597	6.54918681718606	18.79581638841465	8.638496691333026	13.232835728766954	5.358204778810225	7.998063355795869
2i13.pdb	18.571876248168014	12.550189423116667	5.658294880586943	14.689586543583076	18.143072163288068	4.975823689828492	13.034686483681256	10.567182044304792	2.4614387902690556e-14	12.133311604653297	9.86194477989152	8.921322044792051	11.124029805744652	12.708892052043808	20.702220211710525	14.794016665403582	13.559365659343579	14.210697785358045	11.414230569216143	12.513412767200931
2i05.pdb	7.4369467872200135	9.691915112527537	8.58789415921707	15.405528788788915	12.370942113349338	10.532212431582797	16.791877957142532	3.1518434856108435	12.133311604653292	2.0248081624450145e-14	17.626486016430043	2.845847793460907	8.121652144084834	20.53207843664567	8.404084638019302	14.332417108425638	14.836341253913764	13.743517434163673	8.957500497185833	8.11581880823383
